stop_name,unique_route_count
Aadorf,3
Aalen,1
Aarau,16
Aarau Torfeld,1
Aarberg,1
Aarburg-Oftringen,4
Aareschlucht Ost (Bahn),1
Aareschlucht West,1
Aarwangen,1
Aarwangen Schloss,1
Aarwangen Vorstadt,1
Aathal,2
Achern,1
Acla da Fontauna,2
Adliswil,2
Aefligen,2
Aemsigen,1
Aesch BL,1
Affoltern am Albis,3
Affoltern-Weier,1
Agde,2
Agno,1
Aguilcourt-Variscourt,1
Aigle,8
Aigle-Château,1
Aigle-Dépôt,1
Aigle-Parc Aventure,1
Aigle-Place-du-Marché,2
Aiguebelette-le-Lac,1
Aiguebelle,1
Aigueperse,2
Aillevillers,1
Aime-la-Plagne,5
Airolo,3
Aiserey,1
Aix-en-Provence TGV,7
Aix-les-Bains-le-Revard,8
Alaï,1
Albbruck,2
Albens,3
Albertville,5
Albeuve,1
Albigny-Neuville,3
Albizzate-Solbiate Arno,2
Albstadt-Ebingen,1
Allaman,3
Alle,2
Allensbach,2
Alleyras,1
Allières,3
Allmend,1
Allmendingen (D),2
Alp Grüm,3
Alpiglen,1
Alpnach Dorf,2
Alpnachstad,1
Alpnachstad PB,1
Altdorf UR,6
Altendorf,5
Altenstadt (Feldkirch),2
Alter Zoll,1
Altkirch,2
Altmatt,2
Altnau,2
Altshausen,2
Altstätten SG,3
Altstätten Stadt,1
Alvaneu,1
Alès,1
Amagne-Lucquy,1
Ambazac,1
Ambronay-Priay,1
Ambrì-Piotta,3
Ambérieu,7
Amifontaine,1
Amplepuis,2
Amriswil,6
Amsterdam Centraal,1
Anchamps,1
Ancy-sur-Moselle,1
Andelfingen,4
Andelot,2
Andermatt,4
Andrézieux,1
Angers-St-Laud,5
Angoulême,1
Annecy,6
Annemasse,13
Anor,1
Anse,4
Antibes,3
Apach,1
Appenweier,2
Appenzell,2
Apples,2
Arbois,2
Arbon,1
Arbon Seemoosriet,1
Arc-et-Senans,4
Arches,3
Arcisate,2
Arcy-sur-Cure,1
Ardez,3
Ardon,1
Areuse Les Isles Littorail,1
Areuse Littorail,1
Argentière (Haute-Savoie),1
Arles,3
Arnegg,1
Arnex,3
Arosa,2
Arras,2
Ars-sur-Moselle,1
Arth-Goldau,12
Arth-Goldau RB,1
Arvant,7
Arveyes,1
Arzier,1
"Arzier, gare",1
Aspres-sur-Buech,2
Assens,1
Attiswil,1
Au SG,3
Au ZH,3
Aubiat,2
Auboué,1
Aubrives,1
Audun-le-Roman,2
Auggen,2
Augsburg Hbf,1
Aulendorf,3
Aulnat Aéroport,1
Aulnoye-Aymeries,1
Aumont-Aubrac,1
Auray,2
Aurec,1
Aurillac,4
Ausserberg,2
Auvernier,2
Auvernier Littorail,1
Auxerre-Saint-Gervais,4
Auxonne,2
Avallon,1
Avenay,1
Avenches,2
Avesnes,1
Avignon Centre,7
Avignon TGV,9
Avord,2
Avoudrey,1
Avry-Matran,3
Ay (F),1
Azerailles,2
Aéroport Charles-de-Gaulle TGV,7
Baar,6
Baar Lindenpark,2
Baar Neufeld,1
Baccarat,2
Bad Bellingen,2
Bad Krozingen,2
Bad Niedernau,1
Bad Ragaz,3
Bad Saulgau,2
Bad Schussenried,2
Bad Säckingen,2
Bad Zurzach,2
Baden,9
Baden-Baden,2
Bagnac,2
Bagnols-sur-Cèze,1
Bains-les-Bains,1
Balbigny,1
Baldegg,1
Baldegg Kloster,1
Balerna,3
Balingen (Württ),1
Balingen Süd,1
Ballens,1
Ballens-Froideville,1
Ballwil,1
Balsthal,1
Banassac-la-Canourgue,1
Bannwil,1
Bantzenheim,1
Bar-le-Duc,5
Bar-sur-Aube,3
Barcelona Sants,1
Bargen BE,1
Baroncourt,1
Barr,2
Bartenheim,1
Bas - Monistrol,1
Bas Évette,3
Bascharage-Sanem,1
Basel Bad Bf,8
Basel Dreispitz,1
Basel SBB,21
Basel St. Jakob,1
Basel St. Johann,1
"Basel, St-Louis Grenze",1
Basse-Ham,1
Bassecourt,4
Bassersdorf,3
Bassins,1
Baulmes,2
Bauma,1
Baume-les-Dames,3
Bavois,3
Bayon,3
Bazancourt,1
Bazenheid,1
Beaune,4
Bei den Weihern,1
Beinwil am See,1
Bel-Air LEB,1
Belfaux CFF,1
Belfaux-Village,2
Belfort,7
Belfort-Montbéliard TGV,5
Bellach,1
Bellavista,1
